id,name,key,new_name,new_key
d6e98df3-6396-415b-8d58-0c762d46d27c,Ibiza Waves - Ambient Chill Out Music.mp3,medeo/resource/music/pixabay-bgm/Ibiza Waves - Ambient Chill Out Music.mp3,Ibiza Waves - Ambient Chill Out Music,medeo/resource/music/pixabay-bgm/d6e98df3-6396-415b-8d58-0c762d46d27c.mp3
f687d195-3671-42e1-987f-7d0ba8e8aa5c,Chillout 87.mp3,medeo/resource/music/pixabay-bgm/Chillout 87.mp3,Chillout 87,medeo/resource/music/pixabay-bgm/f687d195-3671-42e1-987f-7d0ba8e8aa5c.mp3
0c2779f3-7969-4e35-a4e8-cbb56e51367a,Piano Reverie - Ambient Piano Chill Music.mp3,medeo/resource/music/pixabay-bgm/Piano Reverie - Ambient Piano Chill Music.mp3,Piano Reverie - Ambient Piano Chill Music,medeo/resource/music/pixabay-bgm/0c2779f3-7969-4e35-a4e8-cbb56e51367a.mp3
da13154b-7b08-4d3a-b0b4-d6f7ae6b4509,Meditation One.mp3,medeo/resource/music/pixabay-bgm/Meditation One.mp3,Meditation One,medeo/resource/music/pixabay-bgm/da13154b-7b08-4d3a-b0b4-d6f7ae6b4509.mp3
94b4e3a7-3a02-4093-ad04-18d60f0645d6,CAVALLERIA RUSTICANA.mp3,medeo/resource/music/pixabay-bgm/CAVALLERIA RUSTICANA.mp3,CAVALLERIA RUSTICANA,medeo/resource/music/pixabay-bgm/94b4e3a7-3a02-4093-ad04-18d60f0645d6.mp3
0842eeb2-eb39-4481-996d-7693803039c1,Dirty Dip Driving Guitar.mp3,medeo/resource/music/pixabay-bgm/Dirty Dip Driving Guitar.mp3,Dirty Dip Driving Guitar,medeo/resource/music/pixabay-bgm/0842eeb2-eb39-4481-996d-7693803039c1.mp3
f81237c7-8908-4c16-bf33-5d5a0862222e,Hoje é o dia que o Senhor fez para nós.mp3,medeo/resource/music/pixabay-bgm/Hoje é o dia que o Senhor fez para nós.mp3,Hoje é o dia que o Senhor fez para nós,medeo/resource/music/pixabay-bgm/f81237c7-8908-4c16-bf33-5d5a0862222e.mp3
3bdeb823-7f5d-441e-99e7-a85bcba5b1a1,Epic Piano Background Theme.mp3,medeo/resource/music/pixabay-bgm/Epic Piano Background Theme.mp3,Epic Piano Background Theme,medeo/resource/music/pixabay-bgm/3bdeb823-7f5d-441e-99e7-a85bcba5b1a1.mp3
51996d6d-c68b-401f-ad3c-8ce5a2973dc6,Seasons of life.mp3,medeo/resource/music/pixabay-bgm/Seasons of life.mp3,Seasons of life,medeo/resource/music/pixabay-bgm/51996d6d-c68b-401f-ad3c-8ce5a2973dc6.mp3
c49e17b9-d099-474b-9368-f53564bfdf9b,00_officina zanchi_medieval.mp3,medeo/resource/music/pixabay-bgm/00_officina zanchi_medieval.mp3,00_officina zanchi_medieval,medeo/resource/music/pixabay-bgm/c49e17b9-d099-474b-9368-f53564bfdf9b.mp3
f3a57346-8ac3-4970-81fb-c2b9b7bac408,Time To Relax.mp3,medeo/resource/music/pixabay-bgm/Time To Relax.mp3,Time To Relax,medeo/resource/music/pixabay-bgm/f3a57346-8ac3-4970-81fb-c2b9b7bac408.mp3
